Equipo|Categoria|Presidente|Fundacion|Telefono|Fax|Sitio Web|Email|Campeonatos|Estadio|Capacidad|Direccion
CLUB SPORT EMELEC|PRIMERA - A|SR. NASSIB JOSE NEME ANTON| 28/04/1929|593-4-2416000/2410512|593-4-2416000/2410512|www.emelec.com.ec|info@emelec.com.ec|14|Estadio - BANCO DEL PACIFICO|21388 personas|GENERAL GOMEZ # 1312  Y  AVENIDA QUITO - ESTADIO GEORGE CAPWELL
CLUB DEPORTIVO EL NACIONAL|PRIMERA - A|MIL. TITO SALOMON MANJARREZ LASCANO| 01/06/1964|593-2-2456586/2443387|593-2-2456586/2443387|www.elnacional.ec|elnacional@uio.satnet.net|13|Estadio - OLIMPICO ATAHUALPA|35258 personas|YASUNI E ISLA SAN CRISTOBAL (CDLA. JIPIJAPA)
CLUB DEPORTIVO CUENCA|PRIMERA - A|SR. CLAUDIO AUGUSTO PEÑAHERRERA CALLE| 04/03/1971|593-7-2849454/28282719|593-7-2849454/28282719|www.clubdeportivocuenca.com|info@deportivocuenca.com.ec|1 |Estadio - ALEJANDRO SERRANO AGUILAR BANCO DEL AUSTRO|18549 personas|AV. DEL ESTADIO Y JOSE PERALTA BAJO DE TRIBUNA NORTE
CLUB E.ALTO RENDIMIENTO INDEPENDIENTE DEL VALLE|PRIMERA - A|SR. FRANKLIN ALBERTO TELLO NUÑEZ| 01/03/1958|593-2-3834962/2090128|593-2-3834962/2090128|www.independientedelvalle.com|info@independientedelvalle.com|0|Estadio - RUMIÑAHUI|7233 personas|VIA.  AMAGUANA CALLE F S/N Y CALLE I
BARCELONA SPORTING CLUB|PRIMERA - A|SR. JOSE FRANCISCO CEVALLOS VILLAVICENCIO| 01/05/1925|593-4-2202160/2202185|593-4-2202160/2202185|www.barcelonasc.com.ec|prensa@barcelonaec.com.ec|15|Estadio - MONUMENTAL BANCO PICHINCHA|57267 personas|CDLA.BELLAVISTA ESTADIO MONUMENTAL ISIDRO ROMERO CARBO BANCO PICHINCHA
SOCIEDAD DEPORTIVA AUCAS|PRIMERA - A|SR. PABLO RICARDO MONTUFAR ALMEIDA| 06/02/1945|593-2-2432129 / 2432211| |www.aucas.com.ec|presidencia@aucas.com.ec / secretaria@aucas.com.ec|0|Estadio - GONZALO POZO RIPALDA|18799 personas|VILLALENGUA E-48 E IÑAQUITO (ESQUINA)
CLUB DEPORTIVO DELFIN SPORTING CLUB|PRIMERA - A|ECON. JOSE BALDOMERO DELGADO VELEZ| 01/03/1989|593-5-2626685|593-5-2626685| | |0|Estadio - JOCAY|17834 personas|109 S/N Y AV. 108
LIGA DEPORTIVA UNIVERSITARIA DE QUITO|PRIMERA - A|ARQ. GUILLERMO ANTONIO ROMERO CARRERA| 11/01/1930|593-2-2527206/2527613/2527310|593-2-2527206/2527310|www.ldu.com.ec|comisiondefutbol@ldu.com.ec|10|Estadio - RODRIGO PAZ DELGADO|41575 personas|ROBLES # 653 Y AMAZONAS, EDIF. PROINCO CALISTO 3ER PISO OFICINA # 305
CLUB DEPORTIVO MACARA DE AMBATO|PRIMERA - A|ING. GLEEN MILLER SALAZAR GAMBOA| 25/08/1939|593-3-2822242|593-3-2822242|www.clubmacara.com.ec|club_macara@hotmail.com|0|Estadio - BELLAVISTA|16467 personas|CALLE 13 DE ABRIL BLOQUE NO. 2 JUNTO AL PARQUE 12 DE NOVIEMBRE
CLUB DEPORTIVO TECNICO UNIVERSITARIO|PRIMERA - A|SR. TITO HERNAN JARA ZURITA| 11/04/1971|593-3-2421682|593-32421682|www.clubtecnicouniversitario.com.ec|tecnicouniversitariooficial@gmail.com - vcarrillo.tecnicouniversitario|0|Estadio - BELLAVISTA|16467 personas|AV. 12 DE NOVIEMBRE Y MARIETA DE VEINTIMILLA
